repeat,tick,warmup,phase,cpu_ms
1,642,false,rally,0.0018341541290283203
1,643,false,rally,0.0017919540405273438
1,644,false,rally,0.0017919540405273438
1,645,false,rally,0.0018329620361328125
1,646,false,rally,0.0017919540405273438
1,647,false,rally,0.0018329620361328125
1,648,false,rally,0.0017919540405273438
1,649,false,rally,0.0018329620361328125
1,650,false,rally,0.0018341541290283203
1,651,false,rally,0.0017910003662109375
1,652,false,rally,0.0018339157104492188
1,653,false,rally,0.0018329620361328125
1,654,false,rally,0.0017919540405273438
1,655,false,rally,0.0018329620361328125
1,656,false,rally,0.001917123794555664
1,657,false,rally,0.0017919540405273438
1,658,false,rally,0.0017910003662109375
1,659,false,rally,0.0018339157104492188
1,660,false,rally,0.0017910003662109375
1,661,false,rally,0.0018339157104492188
1,662,false,rally,0.0018329620361328125
1,663,false,rally,0.0018339157104492188
1,664,false,rally,0.0018329620361328125
1,665,false,rally,0.0017919540405273438
1,666,false,rally,0.0017919540405273438
1,667,false,rally,0.0022079944610595703
1,668,false,rally,0.019833087921142578
1,669,false,rally,0.002416849136352539
1,670,false,rally,0.0018329620361328125
1,671,false,rally,0.0017919540405273438
1,672,false,rally,0.0018329620361328125
1,673,false,rally,0.0018329620361328125
1,674,false,rally,0.0018339157104492188
1,675,false,rally,0.0017919540405273438
1,676,false,rally,0.0018749237060546875
1,677,false,rally,0.0017502307891845703
1,678,false,rally,0.0017919540405273438
1,679,false,rally,0.0017910003662109375
1,680,false,rally,0.0018341541290283203
1,681,false,rally,0.001833200454711914
1,682,false,rally,0.0017919540405273438
1,683,false,rally,0.0017919540405273438
1,684,false,rally,0.0017910003662109375
1,685,false,rally,0.0017919540405273438
1,686,false,rally,0.0017919540405273438
1,687,false,rally,0.0017499923706054688
1,688,false,rally,0.0017910003662109375
1,689,false,rally,0.0018339157104492188
1,690,false,rally,0.0017910003662109375
1,691,false,rally,0.0017919540405273438
1,692,false,rally,0.0017919540405273438
1,693,false,rally,0.0017910003662109375
1,694,false,rally,0.0017921924591064453
1,695,false,rally,0.0017919540405273438
1,696,false,rally,0.0017910003662109375
1,697,false,rally,0.0017919540405273438
1,698,false,rally,0.0018329620361328125
1,699,false,rally,0.0018339157104492188
1,700,false,rally,0.0017910003662109375
1,701,false,rally,0.0017919540405273438
1,702,false,rally,0.0017499923706054688
1,703,false,rally,0.0017919540405273438
1,704,false,rally,0.0018329620361328125
